task_id,task_type,difficulty,policy_version,method,answer_similarity,citation_coverage,citation_precision,policy_ref_recall,evidence_faithfulness,unsupported_claim_rate,contradiction_rate,decision_accuracy,traceability_score,human_review_correctness,audit_completeness,governance_readiness_score,update_adaptation_score,latency_seconds,overall_score
T001,policy_question_answering,medium,,Direct LLM,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.714286,1.0,0.625,0.620536,1.0,0.000211,0.133482
T001,policy_question_answering,medium,,Keyword Search,0.145833,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.8125,0.953125,1.0,0.000752,0.841562
T001,policy_question_answering,medium,,Standard RAG,0.106383,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.8125,0.953125,1.0,0.000663,0.834461
T001,policy_question_answering,medium,,Hybrid RAG,0.106383,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.8125,0.953125,1.0,0.000896,0.834461
T001,policy_question_answering,medium,,Policy-as-Prompt,0.106383,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.8125,0.953125,1.0,0.000574,0.834461
T001,policy_question_answering,medium,,Structured Policy-as-Prompt,0.106383,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.8125,0.953125,1.0,0.000903,0.834461
T001,policy_question_answering,medium,,Policy-as-Skill No Audit,0.106383,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.857143,1.0,0.9375,0.941518,1.0,0.001225,0.819015
T001,policy_question_answering,medium,,Policy-as-Skill,0.106383,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002174,0.839149
T002,compliance_check,medium,,Direct LLM,0.037037,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.714286,1.0,0.625,0.620536,1.0,0.000151,0.140149
T002,compliance_check,medium,,Keyword Search,0.211538,1.0,1.0,1.0,0.977778,0.022222,1.0,0.0,1.0,1.0,0.8125,0.953125,1.0,0.000565,0.750723
T002,compliance_check,medium,,Standard RAG,0.211538,1.0,1.0,1.0,0.977778,0.022222,1.0,0.0,1.0,1.0,0.8125,0.953125,1.0,0.000568,0.750723
T002,compliance_check,medium,,Hybrid RAG,0.211538,1.0,1.0,1.0,0.977778,0.022222,1.0,0.0,1.0,1.0,0.8125,0.953125,1.0,0.000819,0.750723
T002,compliance_check,medium,,Policy-as-Prompt,0.211538,1.0,1.0,1.0,0.977778,0.022222,1.0,0.0,1.0,1.0,0.8125,0.953125,1.0,0.000537,0.750723
T002,compliance_check,medium,,Structured Policy-as-Prompt,0.211538,1.0,1.0,1.0,0.977778,0.022222,1.0,0.0,1.0,1.0,0.8125,0.953125,1.0,0.000839,0.750723
T002,compliance_check,medium,,Policy-as-Skill No Audit,0.22,1.0,1.0,1.0,0.976744,0.023256,1.0,0.0,0.857143,1.0,0.9375,0.941518,1.0,0.001169,0.736675
T002,compliance_check,medium,,Policy-as-Skill,0.22,1.0,1.0,1.0,0.976744,0.023256,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.001095,0.756809
T003,risk_classification,medium,,Direct LLM,0.076923,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.714286,1.0,0.625,0.620536,1.0,0.000134,0.147328
T003,risk_classification,medium,,Keyword Search,0.333333,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.8125,0.803125,1.0,0.000513,0.760312
T003,risk_classification,medium,,Standard RAG,0.166667,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.8125,0.803125,1.0,0.000471,0.830313
T003,risk_classification,medium,,Hybrid RAG,0.166667,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.8125,0.803125,1.0,0.0008,0.730313
T003,risk_classification,medium,,Policy-as-Prompt,0.166667,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.8125,0.803125,1.0,0.000447,0.830313
T003,risk_classification,medium,,Structured Policy-as-Prompt,0.166667,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.8125,0.803125,1.0,0.000767,0.730313
T003,risk_classification,medium,,Policy-as-Skill No Audit,0.333333,1.0,1.0,1.0,1.0,0.0,0.35,0.65,0.857143,1.0,0.9375,0.941518,1.0,0.001046,0.824866
T003,risk_classification,medium,,Policy-as-Skill,0.333333,1.0,1.0,1.0,1.0,0.0,0.35,0.65,1.0,1.0,1.0,1.0,1.0,0.00102,0.845
T004,policy_conflict_detection,medium,,Direct LLM,0.033333,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.714286,1.0,0.625,0.620536,1.0,0.000241,0.139482
T004,policy_conflict_detection,medium,,Keyword Search,0.075758,1.0,1.0,1.0,0.96,0.04,1.0,0.0,1.0,0.0,0.8125,0.803125,1.0,0.000778,0.709149
T004,policy_conflict_detection,medium,,Standard RAG,0.075758,1.0,1.0,1.0,0.96,0.04,1.0,0.0,1.0,0.0,0.8125,0.803125,1.0,0.000662,0.709149
T004,policy_conflict_detection,medium,,Hybrid RAG,0.075758,1.0,1.0,1.0,0.96,0.04,1.0,0.0,1.0,0.0,0.8125,0.803125,1.0,0.001064,0.709149
T004,policy_conflict_detection,medium,,Policy-as-Prompt,0.075758,1.0,1.0,1.0,0.96,0.04,1.0,0.0,1.0,0.0,0.8125,0.803125,1.0,0.000703,0.709149
T004,policy_conflict_detection,medium,,Structured Policy-as-Prompt,0.075758,1.0,1.0,1.0,0.96,0.04,1.0,0.0,1.0,0.0,0.8125,0.803125,1.0,0.001015,0.709149
T004,policy_conflict_detection,medium,,Policy-as-Skill No Audit,0.075758,1.0,1.0,1.0,0.96,0.04,1.0,0.0,0.857143,1.0,0.9375,0.941518,1.0,0.001647,0.708702
T004,policy_conflict_detection,medium,,Policy-as-Skill,0.075758,1.0,1.0,1.0,0.96,0.04,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.001039,0.728836
T005,evidence_grounded_recommendation,medium,,Direct LLM,0.1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.714286,0.0,0.625,0.470536,1.0,0.000128,0.136482
T005,evidence_grounded_recommendation,medium,,Keyword Search,0.225,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.8125,0.953125,1.0,0.000492,0.755812
T005,evidence_grounded_recommendation,medium,,Standard RAG,0.285714,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.8125,0.953125,1.0,0.000531,0.766741
T005,evidence_grounded_recommendation,medium,,Hybrid RAG,0.285714,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.8125,0.953125,1.0,0.000746,0.766741
T005,evidence_grounded_recommendation,medium,,Policy-as-Prompt,0.285714,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.8125,0.953125,1.0,0.000437,0.766741
T005,evidence_grounded_recommendation,medium,,Structured Policy-as-Prompt,0.285714,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.8125,0.953125,1.0,0.000879,0.766741
T005,evidence_grounded_recommendation,medium,,Policy-as-Skill No Audit,0.177778,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.857143,1.0,0.9375,0.941518,1.0,0.001061,0.731866
T005,evidence_grounded_recommendation,medium,,Policy-as-Skill,0.177778,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.001019,0.752
T006,human_review_routing,medium,,Direct LLM,0.043478,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.714286,1.0,0.625,0.620536,1.0,0.000136,0.141308
T006,human_review_routing,medium,,Keyword Search,0.081633,1.0,1.0,1.0,0.974359,0.025641,1.0,0.0,1.0,0.0,0.8125,0.803125,1.0,0.000501,0.711929
T006,human_review_routing,medium,,Standard RAG,0.090909,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.8125,0.803125,1.0,0.000457,0.716676
T006,human_review_routing,medium,,Hybrid RAG,0.090909,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.8125,0.803125,1.0,0.000736,0.716676
T006,human_review_routing,medium,,Policy-as-Prompt,0.090909,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.8125,0.803125,1.0,0.000458,0.716676
T006,human_review_routing,medium,,Structured Policy-as-Prompt,0.090909,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.8125,0.803125,1.0,0.000772,0.716676
T006,human_review_routing,medium,,Policy-as-Skill No Audit,0.090909,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.857143,1.0,0.9375,0.941518,1.0,0.001097,0.71623
T006,human_review_routing,medium,,Policy-as-Skill,0.090909,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.001017,0.736364
T007,policy_question_answering,medium,,Direct LLM,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.714286,1.0,0.625,0.620536,1.0,0.000136,0.133482
T007,policy_question_answering,medium,,Keyword Search,0.210526,1.0,1.0,1.0,0.972222,0.027778,0.0,1.0,1.0,1.0,0.8125,0.953125,1.0,0.000497,0.849874
T007,policy_question_answering,medium,,Standard RAG,0.210526,1.0,1.0,1.0,0.972222,0.027778,0.0,1.0,1.0,1.0,0.8125,0.953125,1.0,0.000455,0.849874
T007,policy_question_answering,medium,,Hybrid RAG,0.210526,1.0,1.0,1.0,0.972222,0.027778,0.0,1.0,1.0,1.0,0.8125,0.953125,1.0,0.000912,0.849874
T007,policy_question_answering,medium,,Policy-as-Prompt,0.210526,1.0,1.0,1.0,0.972222,0.027778,0.0,1.0,1.0,1.0,0.8125,0.953125,1.0,0.000424,0.849874
T007,policy_question_answering,medium,,Structured Policy-as-Prompt,0.210526,1.0,1.0,1.0,0.972222,0.027778,0.0,1.0,1.0,1.0,0.8125,0.953125,1.0,0.000772,0.849874
T007,policy_question_answering,medium,,Policy-as-Skill No Audit,0.210526,1.0,1.0,1.0,0.972222,0.027778,0.0,1.0,0.857143,1.0,0.9375,0.941518,1.0,0.001043,0.834427
T007,policy_question_answering,medium,,Policy-as-Skill,0.210526,1.0,1.0,1.0,0.972222,0.027778,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.001002,0.854561
T008,compliance_check,medium,,Direct LLM,0.045455,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.714286,1.0,0.625,0.620536,1.0,0.000134,0.141664
T008,compliance_check,medium,,Keyword Search,0.081633,1.0,1.0,1.0,0.975,0.025,1.0,0.0,1.0,1.0,0.8125,0.953125,1.0,0.000477,0.727006
T008,compliance_check,medium,,Standard RAG,0.157895,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.8125,0.953125,1.0,0.000433,0.743734
T008,compliance_check,medium,,Hybrid RAG,0.157895,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.8125,0.953125,1.0,0.001305,0.743734
T008,compliance_check,medium,,Policy-as-Prompt,0.157895,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.8125,0.953125,1.0,0.000622,0.743734
T008,compliance_check,medium,,Structured Policy-as-Prompt,0.157895,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.8125,0.953125,1.0,0.000995,0.743734
T008,compliance_check,medium,,Policy-as-Skill No Audit,0.157895,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.857143,1.0,0.9375,0.941518,1.0,0.001313,0.728287
T008,compliance_check,medium,,Policy-as-Skill,0.157895,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.001264,0.748421
T009,risk_classification,medium,,Direct LLM,0.038462,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.714286,1.0,0.625,0.620536,1.0,0.000285,0.140405
T009,risk_classification,medium,,Keyword Search,0.042553,1.0,1.0,0.5,1.0,0.0,0.35,0.65,1.0,0.0,0.8125,0.803125,1.0,0.000693,0.692972
T009,risk_classification,medium,,Standard RAG,0.075,1.0,1.0,1.0,1.0,0.0,0.35,0.65,1.0,0.0,0.8125,0.803125,1.0,0.000886,0.778813
T009,risk_classification,medium,,Hybrid RAG,0.075,1.0,1.0,1.0,1.0,0.0,0.35,0.65,1.0,0.0,0.8125,0.803125,1.0,0.000763,0.778813
T009,risk_classification,medium,,Policy-as-Prompt,0.075,1.0,1.0,1.0,1.0,0.0,0.35,0.65,1.0,0.0,0.8125,0.803125,1.0,0.000441,0.778813
T009,risk_classification,medium,,Structured Policy-as-Prompt,0.075,1.0,1.0,1.0,1.0,0.0,0.35,0.65,1.0,0.0,0.8125,0.803125,1.0,0.000762,0.778813
T009,risk_classification,medium,,Policy-as-Skill No Audit,0.06,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.857143,1.0,0.9375,0.941518,1.0,0.000998,0.710666
T009,risk_classification,medium,,Policy-as-Skill,0.06,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.001,0.7308
T010,policy_conflict_detection,medium,,Direct LLM,0.037037,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.714286,1.0,0.625,0.620536,1.0,0.000123,0.140149
T010,policy_conflict_detection,medium,,Keyword Search,0.170213,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.8125,0.953125,1.0,0.00053,0.745951
T010,policy_conflict_detection,medium,,Standard RAG,0.414634,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.8125,0.953125,1.0,0.000467,0.789947
T010,policy_conflict_detection,medium,,Hybrid RAG,0.414634,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.8125,0.953125,1.0,0.000795,0.789947
T010,policy_conflict_detection,medium,,Policy-as-Prompt,0.414634,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.8125,0.953125,1.0,0.00048,0.789947
T010,policy_conflict_detection,medium,,Structured Policy-as-Prompt,0.414634,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.8125,0.953125,1.0,0.00092,0.789947
T010,policy_conflict_detection,medium,,Policy-as-Skill No Audit,0.170213,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.857143,1.0,0.9375,0.941518,1.0,0.001024,0.730504
T010,policy_conflict_detection,medium,,Policy-as-Skill,0.170213,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.001018,0.750638
T011,evidence_grounded_recommendation,medium,,Direct LLM,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.714286,1.0,0.625,0.620536,1.0,0.000112,0.133482
T011,evidence_grounded_recommendation,medium,,Keyword Search,0.145833,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.8125,0.953125,1.0,0.000571,0.841562
T011,evidence_grounded_recommendation,medium,,Standard RAG,0.106383,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.8125,0.953125,1.0,0.000518,0.834461
T011,evidence_grounded_recommendation,medium,,Hybrid RAG,0.106383,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.8125,0.953125,1.0,0.000824,0.834461
T011,evidence_grounded_recommendation,medium,,Policy-as-Prompt,0.106383,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.8125,0.953125,1.0,0.00065,0.834461
T011,evidence_grounded_recommendation,medium,,Structured Policy-as-Prompt,0.106383,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.8125,0.953125,1.0,0.000879,0.834461
T011,evidence_grounded_recommendation,medium,,Policy-as-Skill No Audit,0.106383,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.857143,1.0,0.9375,0.941518,1.0,0.001153,0.819015
T011,evidence_grounded_recommendation,medium,,Policy-as-Skill,0.106383,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.001934,0.839149
T012,human_review_routing,medium,,Direct LLM,0.037037,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.714286,1.0,0.625,0.620536,1.0,0.000144,0.140149
T012,human_review_routing,medium,,Keyword Search,0.211538,1.0,1.0,1.0,0.977778,0.022222,1.0,0.0,1.0,1.0,0.8125,0.953125,1.0,0.000502,0.750723
T012,human_review_routing,medium,,Standard RAG,0.211538,1.0,1.0,1.0,0.977778,0.022222,1.0,0.0,1.0,1.0,0.8125,0.953125,1.0,0.000472,0.750723
T012,human_review_routing,medium,,Hybrid RAG,0.211538,1.0,1.0,1.0,0.977778,0.022222,1.0,0.0,1.0,1.0,0.8125,0.953125,1.0,0.000702,0.750723
T012,human_review_routing,medium,,Policy-as-Prompt,0.211538,1.0,1.0,1.0,0.977778,0.022222,1.0,0.0,1.0,1.0,0.8125,0.953125,1.0,0.000401,0.750723
T012,human_review_routing,medium,,Structured Policy-as-Prompt,0.211538,1.0,1.0,1.0,0.977778,0.022222,1.0,0.0,1.0,1.0,0.8125,0.953125,1.0,0.000785,0.750723
T012,human_review_routing,medium,,Policy-as-Skill No Audit,0.211538,1.0,1.0,1.0,0.977778,0.022222,1.0,0.0,0.857143,1.0,0.9375,0.941518,1.0,0.001019,0.735276
T012,human_review_routing,medium,,Policy-as-Skill,0.211538,1.0,1.0,1.0,0.977778,0.022222,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.001121,0.75541
T013,policy_question_answering,medium,,Direct LLM,0.076923,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.714286,0.0,0.625,0.470536,1.0,0.000135,0.132328
T013,policy_question_answering,medium,,Keyword Search,0.333333,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.8125,0.953125,1.0,0.000504,0.775312
T013,policy_question_answering,medium,,Standard RAG,0.166667,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.8125,0.953125,1.0,0.000436,0.845313
T013,policy_question_answering,medium,,Hybrid RAG,0.166667,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.8125,0.953125,1.0,0.000719,0.745313
T013,policy_question_answering,medium,,Policy-as-Prompt,0.166667,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.8125,0.953125,1.0,0.00039,0.845313
T013,policy_question_answering,medium,,Structured Policy-as-Prompt,0.166667,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.8125,0.953125,1.0,0.000724,0.745313
T013,policy_question_answering,medium,,Policy-as-Skill No Audit,0.333333,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.857143,1.0,0.9375,0.941518,1.0,0.000949,0.759866
T013,policy_question_answering,medium,,Policy-as-Skill,0.333333,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.000975,0.78
T014,compliance_check,medium,,Direct LLM,0.033333,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.714286,1.0,0.625,0.620536,1.0,0.000114,0.139482
T014,compliance_check,medium,,Keyword Search,0.075758,1.0,1.0,1.0,0.96,0.04,1.0,0.0,1.0,0.0,0.8125,0.803125,1.0,0.000462,0.709149
T014,compliance_check,medium,,Standard RAG,0.075758,1.0,1.0,1.0,0.96,0.04,1.0,0.0,1.0,0.0,0.8125,0.803125,1.0,0.000463,0.709149
T014,compliance_check,medium,,Hybrid RAG,0.075758,1.0,1.0,1.0,0.96,0.04,1.0,0.0,1.0,0.0,0.8125,0.803125,1.0,0.000676,0.709149
T014,compliance_check,medium,,Policy-as-Prompt,0.075758,1.0,1.0,1.0,0.96,0.04,1.0,0.0,1.0,0.0,0.8125,0.803125,1.0,0.00042,0.709149
T014,compliance_check,medium,,Structured Policy-as-Prompt,0.075758,1.0,1.0,1.0,0.96,0.04,1.0,0.0,1.0,0.0,0.8125,0.803125,1.0,0.000748,0.709149
T014,compliance_check,medium,,Policy-as-Skill No Audit,0.075758,1.0,1.0,1.0,0.96,0.04,1.0,0.0,0.857143,1.0,0.9375,0.941518,1.0,0.001468,0.708702
T014,compliance_check,medium,,Policy-as-Skill,0.075758,1.0,1.0,1.0,0.96,0.04,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.001312,0.728836
T015,risk_classification,medium,,Direct LLM,0.1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.714286,1.0,0.625,0.620536,1.0,0.000114,0.151482
T015,risk_classification,medium,,Keyword Search,0.225,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.8125,0.803125,1.0,0.000483,0.740812
T015,risk_classification,medium,,Standard RAG,0.285714,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.8125,0.803125,1.0,0.000439,0.751741
T015,risk_classification,medium,,Hybrid RAG,0.285714,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.8125,0.803125,1.0,0.000702,0.751741
T015,risk_classification,medium,,Policy-as-Prompt,0.285714,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.8125,0.803125,1.0,0.000398,0.751741
T015,risk_classification,medium,,Structured Policy-as-Prompt,0.285714,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.8125,0.803125,1.0,0.000711,0.751741
T015,risk_classification,medium,,Policy-as-Skill No Audit,0.177778,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.857143,1.0,0.9375,0.941518,1.0,0.001004,0.731866
T015,risk_classification,medium,,Policy-as-Skill,0.177778,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.001303,0.752
T016,policy_conflict_detection,medium,,Direct LLM,0.043478,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.714286,1.0,0.625,0.620536,1.0,0.000191,0.141308
T016,policy_conflict_detection,medium,,Keyword Search,0.081633,1.0,1.0,1.0,0.974359,0.025641,1.0,0.0,1.0,0.0,0.8125,0.803125,1.0,0.00053,0.711929
T016,policy_conflict_detection,medium,,Standard RAG,0.090909,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.8125,0.803125,1.0,0.000505,0.716676
T016,policy_conflict_detection,medium,,Hybrid RAG,0.090909,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.8125,0.803125,1.0,0.000779,0.716676
T016,policy_conflict_detection,medium,,Policy-as-Prompt,0.090909,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.8125,0.803125,1.0,0.000475,0.716676
T016,policy_conflict_detection,medium,,Structured Policy-as-Prompt,0.090909,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.8125,0.803125,1.0,0.000807,0.716676
